ano,mes,maquina,central,codigo_agente,agente_descripcion,region,provincia,pais,tipo_maquina,fuente_generacion,tecnologia,categoria_hidraulica,categoria_region,generacion_neta,grupo_economico,lon,lat,geo_nombre,geo_tecnologia,geo_nombre_age,potencia_instalada,geo_provincia,geo_sistema
2022,2022-01-01,9JULDI01,9JUL,CMOREN1G,COOP. MNO. MORENO BS. AS.GENER,BUENOS AIRES,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,298.049,Sin clasificar,,,,,,,,
2022,2022-01-01,9JULDI02,9JUL,CMOREN1G,COOP. MNO. MORENO BS. AS.GENER,BUENOS AIRES,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,246.99,Sin clasificar,,,,,,,,
2022,2022-01-01,ABBGDI01,ABBG,CTABENEG,BIOGAS CTBG AB ENERGÍA,COMAHUE,LA PAMPA,Argentina,BIOGAS,Renovable,BIOG,,Comahue,1213.274,Sin clasificar,-67.7155905357597,-37.9019846108887,C.T. AB ENERGIA. 25 DE MAYO . LA PAMPA,Biogas,BIOGAS CTBG AB ENERGÍA,2.0,LA PAMPA,Interconectado MEM
2022,2022-01-01,ABEFDI01,ABEF,CTARREBG,BIOGAS CTBG ARRE BEEF SA,BUENOS AIRES,BUENOS AIRES,Argentina,BIOGAS,Renovable,BIOG,,Gba - Litoral - Buenos Aires,513.943,ARRE BEEF ENERGIA S.A.,-60.0908747582094,-33.7625030426961,C.T. ARREBEEF ENERGIA,Biogas,BIOGAS CTBG ARRE BEEF SA,1.5,BUENOS AIRES,Interconectado MEM
2022,2022-01-01,ABRODI01,ABRO,CTBROWNG,C.T. ALMIRANTE BROWN,GRAN BS.AS.,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,2138.124,EXCEL POWER SRL,-58.405191227531,-34.8375578669191,ALTE BROWN ENAR,Térmica,C.T. ALMIRANTE BROWN,25.0,BUENOS AIRES,Interconectado MEM
2022,2022-01-01,ACAJTG01,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,28781.54,CAPEX S.A.,-68.3554550506912,-38.9364799413244,CAPEX AUTOPROD.,Térmica,CAPEX S.A. AUTOGENERADOR,477.1,NEUQUEN,Interconectado MEM
2022,2022-01-01,ACAJTG02,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,28913.753,CAPEX S.A.,-68.3573071477174,-38.9363104539428,AGUA DEL CAJON,Térmica,C.T. AGUA DEL CAJON,184.4,NEUQUEN,Interconectado MEM
2022,2022-01-01,ACAJTG03,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,30361.741,CAPEX S.A.,-68.3573071477174,-38.9363104539428,AGUA DEL CAJON,Térmica,C.T. AGUA DEL CAJON,184.4,NEUQUEN,Interconectado MEM
2022,2022-01-01,ACAJTG04,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,30249.615,CAPEX S.A.,-68.3573071477174,-38.9363104539428,AGUA DEL CAJON,Térmica,C.T. AGUA DEL CAJON,184.4,NEUQUEN,Interconectado MEM
2022,2022-01-01,ACAJTG05,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,29833.212,CAPEX S.A.,-68.3573071477174,-38.9363104539428,AGUA DEL CAJON,Térmica,C.T. AGUA DEL CAJON,184.4,NEUQUEN,Interconectado MEM
2022,2022-01-01,ACAJTG06,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,CC,,Comahue,80791.709,CAPEX S.A.,-68.3554550506912,-38.9364799413244,CAPEX AUTOPROD.,Térmica,CAPEX S.A. AUTOGENERADOR,477.1,NEUQUEN,Interconectado MEM
